Date,Close,Weight
2021-03-22,12.85,1.22387
2021-03-23,12.21,0.851246
2021-03-24,12.14,0.80462
2021-03-25,12.32,0.898815
2021-03-26,12.3,0.880359
2021-03-29,12.15,0.777018
2021-03-30,12.46,0.939463
2021-03-31,12.25,0.818486
2021-04-01,12.17,0.768922
2021-04-05,12.7,1.02293
2021-04-06,12.92,1.13011
2021-04-07,12.73,1.02347
2021-04-08,12.51,0.902716
2021-04-09,12.51,0.896062
2021-04-12,12.38,0.811423
2021-04-13,12.2,0.715847
2021-04-14,12.24,0.730475
2021-04-15,12.24,0.725258
2021-04-16,12.23,0.715246
2021-04-19,12.11,0.643074
2021-04-20,11.45,0.325019
2021-04-21,11.73,0.455123
2021-04-22,11.94,0.550659
2021-04-23,12.22,0.677483
2021-04-26,12.27,0.687534
2021-04-27,12.49,0.782805
2021-04-28,12.43,0.751008
2021-04-29,11.26,0.225018
2021-04-30,11.54,0.348257
2021-05-03,11.63,0.383091
2021-05-04,11.41,0.287196
2021-05-05,11.61,0.371709
2021-05-06,11.74,0.425414
2021-05-07,11.82,0.457388
2021-05-10,11.71,0.407407
2021-05-11,11.58,0.353511
2021-05-12,11.33,0.252229
2021-05-13,11.55,0.340447
2021-05-14,11.84,0.455039
2021-05-17,12.15,0.571557
2021-05-18,12.14,0.565808
2021-05-19,12.11,0.552622
2021-05-20,12.49,0.694052
2021-05-21,13.33,1.0047
2021-05-24,13.06,0.890563
2021-05-25,12.81,0.7963
2021-05-26,13.9,1.18165
2021-05-27,14.88,1.52104
2021-05-28,14.53,1.38852
2021-06-01,14.81,1.44831
2021-06-02,14.91,1.47234
2021-06-03,15.99,1.81944
2021-06-04,15.97,1.79986
2021-06-07,15.88,1.73297
2021-06-08,15.63,1.64222
2021-06-09,15.48,1.58426
2021-06-10,15.11,1.4598
2021-06-11,15.28,1.50196
2021-06-14,14.87,1.35181
2021-06-15,15,1.38125
2021-06-16,15.02,1.37832
2021-06-17,14.77,1.29865
2021-06-18,14.52,1.22072
2021-06-21,14.78,1.27095
2021-06-22,14.91,1.29833
2021-06-23,15.42,1.42537
2021-06-24,15.26,1.37428
2021-06-25,15.19,1.34752
2021-06-28,14.96,1.26561
2021-06-29,15.01,1.27047
2021-06-30,14.86,1.22685
2021-07-01,14.91,1.23189
2021-07-02,14.93,1.22966
2021-07-06,14.5,1.10738
2021-07-07,14.23,1.04337
2021-07-08,14.06,1.00271
2021-07-09,14.48,1.08807
2021-07-12,14.61,1.10021
2021-07-13,14.42,1.05759
2021-07-14,14.25,1.02021
2021-07-15,14.01,0.970625
2021-07-16,13.61,0.89256
2021-07-19,13.28,0.830083
2021-07-20,13.91,0.940581
2021-07-21,14.19,0.986829
2021-07-22,13.91,0.93687
2021-07-23,13.82,0.920268
2021-07-26,14.03,0.949196
2021-07-27,13.79,0.910924
2021-07-28,13.86,0.920477
2021-07-29,14.39,0.996625
2021-07-30,13.95,0.931356
2021-08-02,13.91,0.922964
2021-08-03,14.02,0.936446
2021-08-04,13.32,0.8474
2021-08-05,13.71,0.896582
2021-08-06,13.8,0.907524
2021-08-09,13.75,0.902357
2021-08-10,13.82,0.910223
2021-08-11,13.93,0.921827
2021-08-12,13.9,0.918879
2021-08-13,13.59,0.889308
2021-08-16,13.46,0.882384
2021-08-17,12.99,0.845448
2021-08-18,13,0.849924
2021-08-19,12.67,0.828473
2021-08-20,12.57,0.826087
2021-08-23,12.73,0.852475
2021-08-24,13.08,0.878503
2021-08-25,13.17,0.887612
2021-08-26,12.9,0.877049
2021-08-27,13.31,0.902324
2021-08-30,13.05,0.902785
2021-08-31,13.03,0.906714
2021-09-01,13.11,0.914213
2021-09-02,13.01,0.915845
2021-09-03,12.89,0.91769
2021-09-07,12.95,0.941281
2021-09-08,13.03,0.947833
2021-09-09,12.76,0.95147
2021-09-10,12.68,0.957698
2021-09-13,12.99,0.976733
2021-09-14,12.86,0.984091
2021-09-15,13.22,0.986174
2021-09-16,13.4,0.988853
2021-09-17,13.55,0.991014
2021-09-20,12.82,1.02656
2021-09-21,12.77,1.03551
2021-09-22,13.23,1.02664
2021-09-23,13.71,1.01404
2021-09-24,13.78,1.01575
2021-09-27,14.16,1.00975
2021-09-28,14.31,1.00497
2021-09-29,14.3,1.0087
2021-09-30,14.16,1.02068
2021-10-01,14.16,1.0245
2021-10-04,14.35,1.0222
2021-10-05,14.29,1.03048
2021-10-06,14.12,1.04827
2021-10-07,14.89,0.987124
2021-10-08,15.12,0.968812
2021-10-11,15.09,0.976197
2021-10-12,15.64,0.921998
2021-10-13,15.51,0.935689
2021-10-14,15.45,0.942744
2021-10-15,15.7,0.915679
2021-10-18,15.56,0.933297
2021-10-19,15.42,0.951617
2021-10-20,16.04,0.87358
2021-10-21,16.55,0.806002
2021-10-22,16.28,0.840228
2021-10-25,16,0.877495
2021-10-26,15.94,0.8864
2021-10-27,15.51,0.951736
2021-10-28,16.86,0.74499
2021-10-29,17.08,0.707742
2021-11-01,17.95,0.552625
2021-11-02,18.01,0.536603
2021-11-03,18.63,0.422677
2021-11-04,19.42,0.274563
2021-11-05,19.29,0.28774
2021-11-08,20.15,0.0944954
2021-11-09,20.12,0.0879367
2021-11-10,19.36,0.225746
2021-11-11,19.55,0.178026
2021-11-12,19.5,0.178095
2021-11-15,19.86,0.0717591
2021-11-16,19.79,0.0761722
2021-11-17,19.96,0.0282302
2021-11-18,19.56,0.106794
2021-11-19,19.39,0.135867
2021-11-22,20.48,-0.148746
2021-11-23,20.2,-0.0936751
2021-11-24,20.25,-0.117033
2021-11-26,19.75,-0.0143871
2021-11-29,19.67,-0.0215852
2021-11-30,19.19,0.0959203
2021-12-01,19.58,-0.0152738
2021-12-02,19.87,-0.101958
2021-12-03,19.14,0.088213
